-0.0000,13.5465,6.8811,0.6096,-0.2851,-0.0503,-44.1777,-28.5528,-55.2030,-42.7806,65.6159,19.8223
-0.0356,13.5675,6.881,0.6095,-0.2851,-0.0311,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
-0.0271,13.6291,6.881,0.6095,-0.2851,-0.0321,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
0.0043,13.5738,6.881,0.6095,-0.2839,-0.0685,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
-0.0135,13.6071,6.881,0.6748,-0.3546,-0.0311,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
-0.019,13.6176,6.8809,0.6101,-0.3193,-0.0321,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
0.0278,13.5618,6.8806,0.6098,-0.2497,-0.0129,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
-0.0085,13.6249,6.8776,0.6096,-0.2498,-0.0322,-44.1777,-28.5529,-55.203,-42.7806,65.6159,19.8223
-0.0173,13.5512,6.8807,0.6095,-0.3196,-0.0037,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
-0.0305,13.5489,6.8761,0.609,-0.2845,-0.0129,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
0.0408,13.5724,6.8735,0.609,-0.2862,-0.0318,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
-0.0377,13.6109,6.8671,0.6089,-0.3213,-0.05,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
0.0343,13.5512,6.8676,0.6086,-0.2531,-0.0124,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
-0.0164,13.6732,6.861,0.6734,-0.3247,-0.012,-44.1777,-28.5529,-55.203,-42.7806,65.6159,19.8223
-0.0232,13.6195,6.8564,0.6081,-0.292,-0.031,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
0.0013,13.5549,6.8482,0.6716,-0.3312,-0.0291,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
0.0077,13.5902,6.844,0.6065,-0.301,-0.0389,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
-0.0043,13.5517,6.8688,0.6039,-0.3081,-0.0279,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
0.0179,13.5495,6.826,0.6008,-0.318,-0.0067,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
0.0226,13.5645,6.8155,0.5966,-0.3312,-0.0411,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
0.0242,13.5976,6.8036,0.5907,-0.2798,-0.028,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
0.0359,13.6112,6.7876,0.5823,-0.3557,-0.012,-44.1777,-28.5529,-55.203,-42.7806,65.6159,19.8223
0.0408,13.5878,6.8125,0.5745,-0.4023,-0.003,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
0.0628,13.5629,6.7746,0.5542,-0.4176,0.0173,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
0.0126,13.5711,6.747,0.5368,-0.4544,0.0242,-44.1777,-28.5528,-55.203,-42.7806,65.6159,19.8223
0.0417,13.61,6.7228,0.5089,-0.4753,0.0232,-44.1777,-28.5528,-55.203,-42.7806,65.6158,19.8223
0.1488,13.5544,6.7468,0.4788,-0.5008,0.0446,-44.1777,-28.5528,-55.203,-42.7806,65.6158,19.8224
0.0332,13.5346,6.71,0.4401,-0.5473,0.0391,-44.1777,-28.5528,-55.203,-42.7806,65.6158,19.8224
0.1221,13.5555,6.6421,0.401,-0.6129,0.0895,-44.1777,-28.5528,-55.203,-42.7806,65.6157,19.8224
0.1059,13.5942,6.6413,0.3576,-0.6637,0.1338,-44.1777,-28.5528,-55.203,-42.7807,65.6157,19.8225
0.1378,13.549,6.5569,0.3783,-0.6671,0.1301,-44.1777,-28.5528,-55.203,-42.7807,65.6156,19.8225
0.1713,13.5186,6.5371,0.255,-0.7023,0.1642,-44.1777,-28.5528,-55.203,-42.7807,65.6155,19.8226
0.178,13.5443,6.4889,0.2745,-0.7911,0.1911,-44.1777,-28.5528,-55.203,-42.7807,65.6154,19.8226
0.3229,13.5965,6.4514,0.207,-0.8137,0.2069,-44.1777,-28.5528,-55.203,-42.7808,65.6152,19.8227
0.3179,13.5163,6.4477,0.1569,-0.8196,0.2241,-44.1777,-28.5528,-55.2031,-42.7808,65.6151,19.8228
0.3768,13.5756,6.4156,0.1104,-0.841,0.2861,-44.1776,-28.5528,-55.2031,-42.7808,65.6149,19.8228
0.4766,13.5144,6.3973,0.1498,-0.8829,0.2745,-44.1776,-28.5528,-55.2031,-42.7809,65.6147,19.8229
0.4534,13.5012,6.3254,0.0149,-0.8184,0.2609,-44.1776,-28.5528,-55.2031,-42.7809,65.6144,19.823
0.5131,13.4871,6.2534,0.0167,-0.8917,0.312,-44.1776,-28.5528,-55.2031,-42.781,65.6141,19.8231
0.5935,13.5143,6.2547,-0.0067,-0.8812,0.3169,-44.1776,-28.5528,-55.2032,-42.7811,65.6137,19.8232
0.5929,13.4544,6.1945,-0.0477,-0.906,0.3466,-44.1776,-28.5528,-55.2032,-42.7812,65.6133,19.8234
0.628,13.4615,6.1901,-0.0908,-1.0021,0.3484,-44.1776,-28.5528,-55.2032,-42.7813,65.6129,19.8235
0.6874,13.4899,6.1375,-0.1312,-0.9788,0.3579,-44.1776,-28.5528,-55.2033,-42.7814,65.6124,19.8237
