-0.0000,0.0000,-0.0000.1,-0.0000.2,0.0000.1,-0.0000.3,-43.8520,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0,4.4639,3.4676,0.4609,0.2183,0.0,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0,4.464,3.4666,0.4609,0.2183,0.0,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0,4.464,3.4667,0.4609,0.2183,0.0,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0,4.4639,3.4692,0.4609,0.2183,0.0001,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0,4.4641,3.4634,0.4609,0.2182,0.0001,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0002,4.4633,3.4628,0.4608,0.2179,0.0003,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0092,4.4663,3.4701,0.4605,0.2169,0.0008,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0009,4.4551,3.4567,0.4595,0.2141,0.0019,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0122,4.4563,3.4465,0.457,0.2081,0.0042,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0134,4.4772,3.4435,0.4527,0.1961,0.0085,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0275,4.4599,3.4486,0.4452,0.177,0.0157,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0341,4.4407,3.422,0.4336,0.1525,0.0271,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0445,4.4522,3.4084,0.4163,0.124,0.0445,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0665,4.469,3.3827,0.3916,0.0925,0.0674,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0932,4.4624,3.3512,0.3582,0.059,0.0944,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.127,4.4355,3.3074,0.3184,0.024,0.1242,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.1588,4.4322,3.2771,0.2742,-0.012,0.156,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.198,4.4608,3.2138,0.2269,-0.0486,0.189,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.2628,4.3995,3.1556,0.1779,-0.0857,0.2226,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.3288,4.4072,3.0858,0.1279,-0.1231,0.2563,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.4059,4.4249,3.0252,0.0777,-0.1609,0.2899,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.4787,4.3779,2.9678,0.0278,-0.199,0.3232,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.5739,4.3512,2.9067,-0.0216,-0.2375,0.356,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.6621,4.3618,2.8358,-0.0699,-0.2767,0.3882,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.7544,4.3397,2.7565,-0.1172,-0.3165,0.4198,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-1.907,5.9708,6.1477,1.2059,1.3618,-0.7655,-43.8519,-28.7583,-55.5678,-42.6083,65.3764,19.5922
-0.3169,4.0439,3.5153,0.0472,0.4004,-0.0119,-43.8518,-28.7583,-55.568,-42.6086,65.3754,19.5926
0.7053,4.4097,3.0474,-0.2339,-0.1725,0.4578,-43.8518,-28.7584,-55.5681,-42.6086,65.3749,19.5927
0.8549,4.2155,2.7486,-0.2261,-0.1992,0.4598,-43.8518,-28.7584,-55.5681,-42.6086,65.3746,19.5927
0.8924,4.1241,2.6742,-0.2315,-0.2469,0.4097,-43.8518,-28.7584,-55.5682,-42.6086,65.3745,19.5928
1.0348,4.2869,2.62,-0.2485,-0.2797,0.4213,-43.8518,-28.7584,-55.5682,-42.6087,65.3744,19.5928
0.8893,4.1151,2.6642,-0.2686,-0.2809,0.4334,-43.8517,-28.7584,-55.5683,-42.6087,65.3742,19.5928
0.9981,4.0162,2.6195,-0.3282,-0.2877,0.4531,-43.8517,-28.7584,-55.5683,-42.6087,65.3741,19.5929
1.0296,4.0178,2.5169,-0.291,-0.3002,0.4507,-43.8517,-28.7584,-55.5684,-42.6087,65.3739,19.5929
1.1498,3.9842,2.5618,-0.3216,-0.3222,0.4562,-43.8517,-28.7584,-55.5684,-42.6087,65.3737,19.593
1.0695,3.9913,2.5268,-0.3834,-0.3509,0.4649,-43.8516,-28.7584,-55.5685,-42.6088,65.3734,19.5931
1.1564,3.9334,2.529,-0.4147,-0.357,0.4652,-43.8516,-28.7584,-55.5685,-42.6088,65.373,19.5932
1.1262,3.8723,2.5146,-0.4748,-0.351,0.4932,-43.8515,-28.7584,-55.5686,-42.6089,65.3725,19.5933
1.0506,3.869,2.4956,-0.4678,-0.3653,0.5041,-43.8515,-28.7584,-55.5687,-42.6089,65.372,19.5935
1.166,3.7914,2.4246,-0.4557,-0.3925,0.4936,-43.8514,-28.7584,-55.5688,-42.609,65.3715,19.5937
1.1098,3.7748,2.4075,-0.4548,-0.4254,0.5036,-43.8514,-28.7584,-55.5689,-42.6091,65.3709,19.5939
1.2209,3.6659,2.4018,-0.5165,-0.4545,0.4983,-43.8513,-28.7584,-55.569,-42.6092,65.3702,19.5941
1.1525,3.7215,2.3619,-0.5232,-0.4641,0.5027,-43.8512,-28.7584,-55.5691,-42.6093,65.3695,19.5944
1.1723,3.5939,2.3575,-0.5291,-0.5122,0.5193,-43.8512,-28.7585,-55.5692,-42.6094,65.3688,19.5947
1.2281,3.5239,2.3576,-0.5488,-0.5196,0.5247,-43.8511,-28.7585,-55.5694,-42.6095,65.368,19.595
1.195,3.5797,2.3168,-0.548,-0.5255,0.5428,-43.851,-28.7585,-55.5695,-42.6097,65.3671,19.5953
1.3428,3.5407,2.2081,-0.5825,-0.5359,0.5235,-43.851,-28.7585,-55.5697,-42.6099,65.3661,19.5957
1.2907,3.6064,2.2192,-0.5579,-0.545,0.5318,-43.8509,-28.7585,-55.5698,-42.6101,65.3651,19.596
1.3859,3.5452,2.2502,-0.5362,-0.5601,0.5257,-43.8508,-28.7586,-55.57,-42.6104,65.3639,19.5964
1.3676,3.4661,2.2014,-0.5526,-0.5505,0.545,-43.8507,-28.7586,-55.5702,-42.6106,65.3626,19.5968
1.3067,3.4355,2.1755,-0.5916,-0.5617,0.6018,-43.8506,-28.7586,-55.5704,-42.6109,65.3612,19.5972
1.3598,3.4226,2.1678,-0.6295,-0.5769,0.5945,-43.8505,-28.7586,-55.5707,-42.6112,65.3597,19.5976
1.4641,3.3416,2.1303,-0.6589,-0.57,0.5979,-43.8504,-28.7587,-55.5709,-42.6115,65.358,19.5981
1.427,3.4658,2.1201,-0.6298,-0.5884,0.5955,-43.8503,-28.7587,-55.5712,-42.6119,65.3563,19.5986
1.4733,3.3065,2.1264,-0.6001,-0.5845,0.6229,-43.8501,-28.7587,-55.5714,-42.6122,65.3544,19.5991
1.5229,3.4116,2.1223,-0.568,-0.6015,0.6207,-43.85,-28.7588,-55.5717,-42.6126,65.3523,19.5996
1.6467,3.37,2.0761,-0.6592,-0.5942,0.6275,-43.8499,-28.7588,-55.572,-42.6131,65.3502,19.6002
1.5753,3.3412,2.1025,-0.6367,-0.5878,0.6448,-43.8498,-28.7588,-55.5724,-42.6135,65.3479,19.6008
1.5563,3.4679,2.0833,-0.6329,-0.5933,0.6798,-43.8496,-28.7589,-55.5727,-42.614,65.3455,19.6015
1.7081,3.3577,2.1029,-0.6706,-0.5935,0.6877,-43.8495,-28.7589,-55.5731,-42.6145,65.3429,19.6021
1.6746,3.3389,2.118,-0.7898,-0.6038,0.6744,-43.8493,-28.759,-55.5735,-42.6149,65.3402,19.6028
1.6312,3.375,2.138,-0.9109,-0.6236,0.692,-43.8491,-28.759,-55.5739,-42.6153,65.3374,19.6036
1.6558,3.2692,2.1169,-1.0157,-0.6004,0.6756,-43.849,-28.7591,-55.5744,-42.6157,65.3344,19.6044
1.6395,3.3525,2.0737,-1.0532,-0.6085,0.6964,-43.8488,-28.7591,-55.5748,-42.616,65.3313,19.6052
1.6844,3.2232,2.0634,-1.0302,-0.6143,0.6956,-43.8486,-28.7592,-55.5753,-42.6164,65.3281,19.6062
1.7041,3.2935,2.0781,-1.05,-0.6331,0.6877,-43.8484,-28.7592,-55.5758,-42.6169,65.3246,19.6071
1.6683,3.3154,2.027,-1.0425,-0.6304,0.6802,-43.8482,-28.7593,-55.5764,-42.6173,65.3211,19.6081
1.7589,3.3206,2.0783,-1.0237,-0.6368,0.6847,-43.848,-28.7593,-55.5769,-42.6178,65.3173,19.6092
1.75,3.3132,2.0979,-1.0811,-0.6612,0.707,-43.8477,-28.7593,-55.5775,-42.6184,65.3134,19.6103
1.77,3.2825,2.0328,-1.1109,-0.6634,0.7129,-43.8475,-28.7594,-55.5781,-42.619,65.3093,19.6115
1.7834,3.3512,1.9998,-1.0878,-0.661,0.7148,-43.8473,-28.7594,-55.5788,-42.6196,65.3051,19.6127
1.714,3.2056,2.0196,-1.1218,-0.6715,0.7162,-43.847,-28.7595,-55.5794,-42.6203,65.3007,19.614
1.7281,3.2416,1.9768,-1.1059,-0.6628,0.6832,-43.8467,-28.7595,-55.5801,-42.621,65.2961,19.6154
1.8446,3.1884,2.0406,-1.0753,-0.6783,0.7148,-43.8465,-28.7596,-55.5808,-42.6218,65.2914,19.6168
1.7258,3.2649,1.9782,-1.1153,-0.6789,0.6954,-43.8462,-28.7596,-55.5815,-42.6226,65.2864,19.6183
