-0.0000,0.0000,-0.0000.1,-0.0000.2,0.0000.1,-0.0000.3,-43.8520,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0,4.4639,3.4676,0.4609,0.2183,0.0,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0,4.464,3.4666,0.4609,0.2183,0.0,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0,4.464,3.4667,0.4609,0.2183,0.0,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0,4.4639,3.4692,0.4609,0.2183,0.0001,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0,4.4641,3.4634,0.4609,0.2182,0.0001,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0002,4.4633,3.4628,0.4608,0.2179,0.0003,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0092,4.4663,3.4701,0.4605,0.2169,0.0008,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0009,4.4551,3.4567,0.4595,0.2141,0.0019,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0122,4.4563,3.4465,0.457,0.2081,0.0042,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0134,4.4772,3.4435,0.4527,0.1961,0.0085,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0275,4.4599,3.4486,0.4452,0.177,0.0157,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0341,4.4407,3.422,0.4336,0.1525,0.0271,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0445,4.4522,3.4084,0.4163,0.124,0.0445,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0665,4.469,3.3827,0.3916,0.0925,0.0674,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0932,4.4624,3.3512,0.3582,0.059,0.0944,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.127,4.4355,3.3074,0.3184,0.024,0.1242,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.1588,4.4322,3.2771,0.2742,-0.012,0.156,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.198,4.4608,3.2138,0.2269,-0.0486,0.189,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.2628,4.3995,3.1556,0.1779,-0.0857,0.2226,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.3288,4.4072,3.0858,0.1279,-0.1231,0.2563,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.4059,4.4249,3.0252,0.0777,-0.1609,0.2899,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.4787,4.3779,2.9678,0.0278,-0.199,0.3232,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.5739,4.3512,2.9067,-0.0216,-0.2375,0.356,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.6621,4.3618,2.8358,-0.0699,-0.2767,0.3882,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.7544,4.3397,2.7565,-0.1172,-0.3165,0.4198,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-1.907,5.9708,6.1477,1.2657,1.361,-0.7655,-43.8519,-28.7583,-55.5678,-42.6083,65.3764,19.5922
-0.3169,4.0585,3.5707,-0.0144,0.3581,0.0153,-43.8518,-28.7583,-55.568,-42.6086,65.3754,19.5926
0.8515,4.2858,3.0486,-0.1708,-0.1874,0.4894,-43.8518,-28.7584,-55.5681,-42.6086,65.3749,19.5927
0.7294,4.2391,2.7432,-0.214,-0.2204,0.4796,-43.8518,-28.7584,-55.5681,-42.6086,65.3747,19.5927
0.9238,4.124,2.5936,-0.2947,-0.2523,0.3846,-43.8518,-28.7584,-55.5682,-42.6086,65.3745,19.5928
1.0706,4.2408,2.6315,-0.2675,-0.2962,0.4069,-43.8518,-28.7584,-55.5682,-42.6087,65.3744,19.5928
0.9921,4.1403,2.6646,-0.2848,-0.2655,0.4419,-43.8517,-28.7584,-55.5683,-42.6087,65.3743,19.5928
1.0761,4.0267,2.5816,-0.2653,-0.3162,0.4188,-43.8517,-28.7584,-55.5683,-42.6087,65.3742,19.5929
1.0833,4.0129,2.5628,-0.3043,-0.3127,0.4159,-43.8517,-28.7584,-55.5683,-42.6087,65.374,19.5929
1.1644,4.0905,2.5704,-0.3439,-0.3415,0.4431,-43.8517,-28.7584,-55.5684,-42.6088,65.3737,19.593
1.0625,4.0044,2.5847,-0.335,-0.3609,0.46,-43.8516,-28.7584,-55.5685,-42.6088,65.3734,19.5931
1.155,3.8813,2.5299,-0.3749,-0.3546,0.4707,-43.8516,-28.7584,-55.5685,-42.6089,65.3731,19.5932
1.071,3.8744,2.4476,-0.3745,-0.3752,0.4943,-43.8515,-28.7584,-55.5686,-42.6089,65.3726,19.5933
1.1584,3.8338,2.5149,-0.4214,-0.3858,0.5062,-43.8515,-28.7584,-55.5687,-42.609,65.3721,19.5935
1.1545,3.8134,2.4345,-0.425,-0.3978,0.4912,-43.8514,-28.7584,-55.5688,-42.6091,65.3716,19.5937
1.2794,3.7711,2.3964,-0.4951,-0.4505,0.4767,-43.8514,-28.7584,-55.5689,-42.6092,65.371,19.5939
1.1209,3.6659,2.4,-0.4542,-0.4801,0.4868,-43.8513,-28.7584,-55.569,-42.6093,65.3704,19.5941
1.198,3.722,2.3723,-0.4337,-0.5242,0.4964,-43.8512,-28.7584,-55.5691,-42.6095,65.3698,19.5944
1.197,3.5941,2.3132,-0.4906,-0.5197,0.5187,-43.8512,-28.7585,-55.5692,-42.6096,65.3691,19.5947
1.2237,3.5985,2.2964,-0.4928,-0.5522,0.5251,-43.8511,-28.7585,-55.5693,-42.6098,65.3683,19.595
1.3379,3.5654,2.28,-0.5272,-0.5673,0.5459,-43.851,-28.7585,-55.5695,-42.61,65.3674,19.5953
1.1802,3.5408,2.2856,-0.5113,-0.5329,0.5571,-43.851,-28.7585,-55.5696,-42.6102,65.3664,19.5956
1.2561,3.4808,2.1769,-0.5093,-0.5645,0.5402,-43.8509,-28.7585,-55.5698,-42.6104,65.3653,19.596
1.3889,3.5318,2.1669,-0.516,-0.5612,0.5298,-43.8508,-28.7585,-55.57,-42.6106,65.3641,19.5963
1.4279,3.3699,2.1319,-0.5329,-0.5319,0.5738,-43.8507,-28.7586,-55.5702,-42.6109,65.3628,19.5968
1.3592,3.4832,2.1448,-0.6483,-0.5576,0.5733,-43.8506,-28.7586,-55.5704,-42.6111,65.3614,19.5972
1.41,3.4054,2.1109,-0.6848,-0.5853,0.5652,-43.8505,-28.7586,-55.5706,-42.6114,65.3598,19.5977
1.443,3.4167,2.1688,-0.7257,-0.5575,0.5581,-43.8504,-28.7587,-55.5709,-42.6116,65.3582,19.5982
1.4266,3.4896,2.0943,-0.7096,-0.565,0.5791,-43.8503,-28.7587,-55.5711,-42.6119,65.3564,19.5987
1.4335,3.3663,2.1531,-0.7675,-0.5727,0.5694,-43.8501,-28.7587,-55.5714,-42.6122,65.3545,19.5993
1.472,3.4303,2.1355,-0.7912,-0.5937,0.5507,-43.85,-28.7588,-55.5717,-42.6124,65.3524,19.5999
1.4869,3.3625,2.1315,-0.8728,-0.5809,0.5529,-43.8499,-28.7588,-55.572,-42.6127,65.3503,19.6006
1.5018,3.355,2.1112,-0.8905,-0.5688,0.5571,-43.8497,-28.7588,-55.5724,-42.613,65.348,19.6013
1.5264,3.305,2.1081,-0.8221,-0.5778,0.5559,-43.8496,-28.7589,-55.5727,-42.6133,65.3456,19.602
1.5658,3.3134,2.1049,-0.8657,-0.6251,0.5851,-43.8494,-28.7589,-55.5731,-42.6137,65.343,19.6027
1.5948,3.3521,2.088,-0.8613,-0.6065,0.5742,-43.8493,-28.759,-55.5735,-42.6141,65.3403,19.6036
1.6373,3.3326,2.0924,-0.8538,-0.6271,0.5619,-43.8491,-28.759,-55.5739,-42.6145,65.3374,19.6044
1.6545,3.2888,2.1234,-0.8532,-0.6107,0.5784,-43.8489,-28.7591,-55.5744,-42.6149,65.3345,19.6053
1.6521,3.3458,2.0621,-0.8424,-0.6059,0.5583,-43.8488,-28.7591,-55.5748,-42.6154,65.3313,19.6062
1.6835,3.2199,2.0183,-0.8549,-0.6373,0.5934,-43.8486,-28.7591,-55.5753,-42.616,65.3281,19.6072
1.6771,3.2905,2.0723,-0.925,-0.6165,0.6434,-43.8484,-28.7592,-55.5758,-42.6166,65.3246,19.6082
1.6613,3.3119,2.0112,-0.9546,-0.6195,0.6955,-43.8482,-28.7592,-55.5764,-42.6172,65.3211,19.6092
1.8185,3.205,2.0709,-0.955,-0.6452,0.7103,-43.848,-28.7593,-55.5769,-42.6178,65.3173,19.6101
1.7037,3.3135,2.0076,-0.902,-0.6736,0.708,-43.8477,-28.7593,-55.5775,-42.6185,65.3134,19.6112
1.6308,3.2811,1.9967,-0.9125,-0.6413,0.6968,-43.8475,-28.7594,-55.5781,-42.6193,65.3093,19.6123
1.8142,3.3399,2.0051,-0.9362,-0.6699,0.722,-43.8473,-28.7594,-55.5787,-42.62,65.3051,19.6134
1.6941,3.2037,2.0151,-0.9422,-0.6518,0.7078,-43.847,-28.7595,-55.5794,-42.6208,65.3007,19.6146
1.7228,3.3045,2.0229,-0.8982,-0.658,0.6758,-43.8467,-28.7595,-55.5801,-42.6217,65.2961,19.6159
1.8391,3.3077,2.0269,-0.9689,-0.6872,0.6774,-43.8465,-28.7596,-55.5808,-42.6226,65.2913,19.6172
1.7189,3.1921,1.9741,-0.9266,-0.6874,0.6867,-43.8462,-28.7596,-55.5815,-42.6236,65.2864,19.6186
