-0.0000,0.0000,-0.0000.1,-0.0000.2,0.0000.1,-0.0000.3,-43.8520,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0,4.4639,3.4676,0.4609,0.2183,0.0,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0,4.464,3.4666,0.4609,0.2183,0.0,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0,4.464,3.4667,0.4609,0.2183,0.0,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0,4.4639,3.4692,0.4609,0.2183,0.0001,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0,4.4641,3.4634,0.4609,0.2182,0.0001,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0002,4.4633,3.4628,0.4608,0.2179,0.0003,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0092,4.4663,3.4701,0.4605,0.2169,0.0008,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0009,4.4551,3.4567,0.4595,0.2141,0.0019,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0122,4.4563,3.4465,0.457,0.2081,0.0042,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0134,4.4772,3.4435,0.4527,0.1961,0.0085,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0275,4.4599,3.4486,0.4452,0.177,0.0157,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0341,4.4407,3.422,0.4336,0.1525,0.0271,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0445,4.4522,3.4084,0.4163,0.124,0.0445,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0665,4.469,3.3827,0.3916,0.0925,0.0674,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0932,4.4624,3.3512,0.3582,0.059,0.0944,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.127,4.4355,3.3074,0.3184,0.024,0.1242,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.1588,4.4322,3.2771,0.2742,-0.012,0.156,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.198,4.4608,3.2138,0.2269,-0.0486,0.189,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.2628,4.3995,3.1556,0.1779,-0.0857,0.2226,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.3288,4.4072,3.0858,0.1279,-0.1231,0.2563,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.4059,4.4249,3.0252,0.0777,-0.1609,0.2899,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.4787,4.3779,2.9678,0.0278,-0.199,0.3232,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.5739,4.3512,2.9067,-0.0216,-0.2375,0.356,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.6621,4.3618,2.8358,-0.0699,-0.2767,0.3882,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.7544,4.3397,2.7565,-0.1172,-0.3165,0.4198,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-1.907,5.9708,6.1477,1.2059,1.3618,-0.7655,-43.8519,-28.7583,-55.5678,-42.6083,65.3764,19.5922
-0.3169,4.0439,3.5953,-0.023,0.4004,-0.0152,-43.8518,-28.7583,-55.568,-42.6086,65.3754,19.5926
0.7053,4.4097,3.0518,-0.173,-0.1725,0.4382,-43.8518,-28.7584,-55.5681,-42.6086,65.3749,19.5927
0.8549,4.2155,2.7449,-0.2163,-0.2268,0.4437,-43.8518,-28.7584,-55.5681,-42.6086,65.3746,19.5927
0.8924,4.1241,2.5928,-0.2298,-0.239,0.3744,-43.8518,-28.7584,-55.5682,-42.6086,65.3745,19.5928
1.0348,4.2869,2.6316,-0.3091,-0.2738,0.417,-43.8518,-28.7584,-55.5682,-42.6087,65.3744,19.5928
0.8893,4.1005,2.5601,-0.2918,-0.2898,0.4444,-43.8517,-28.7584,-55.5683,-42.6087,65.3743,19.5928
0.9981,4.021,2.6118,-0.3139,-0.2862,0.4186,-43.8517,-28.7584,-55.5683,-42.6087,65.3741,19.5929
1.0296,4.0242,2.6043,-0.2974,-0.3033,0.4401,-43.8517,-28.7584,-55.5684,-42.6087,65.3739,19.5929
1.1498,3.9819,2.5294,-0.3936,-0.339,0.4532,-43.8517,-28.7584,-55.5684,-42.6087,65.3737,19.593
1.0149,4.0295,2.5705,-0.394,-0.3534,0.4578,-43.8516,-28.7584,-55.5685,-42.6088,65.3734,19.5931
1.1741,3.9108,2.5457,-0.422,-0.3554,0.468,-43.8516,-28.7584,-55.5685,-42.6088,65.373,19.5932
1.0817,3.9142,2.5063,-0.488,-0.3573,0.494,-43.8515,-28.7584,-55.5686,-42.6089,65.3726,19.5933
1.1581,3.8465,2.4438,-0.4892,-0.3635,0.4717,-43.8515,-28.7584,-55.5687,-42.6089,65.3721,19.5935
1.0735,3.795,2.4581,-0.4603,-0.4136,0.4883,-43.8514,-28.7584,-55.5688,-42.609,65.3715,19.5937
1.1197,3.7373,2.3863,-0.4802,-0.4486,0.4738,-43.8514,-28.7584,-55.5689,-42.6091,65.3709,19.5939
1.2149,3.6404,2.3721,-0.4798,-0.4747,0.4923,-43.8513,-28.7584,-55.569,-42.6092,65.3703,19.5941
1.3168,3.7735,2.3728,-0.5428,-0.4971,0.523,-43.8512,-28.7584,-55.5691,-42.6093,65.3696,19.5944
1.2475,3.5927,2.3241,-0.4921,-0.5162,0.4898,-43.8512,-28.7585,-55.5692,-42.6095,65.3689,19.5947
1.2637,3.5954,2.3276,-0.5944,-0.5349,0.473,-43.8511,-28.7585,-55.5694,-42.6096,65.3682,19.595
1.1994,3.5659,2.2865,-0.5121,-0.5329,0.5261,-43.851,-28.7585,-55.5695,-42.6098,65.3673,19.5953
1.3517,3.5404,2.2686,-0.5159,-0.5271,0.5197,-43.851,-28.7585,-55.5697,-42.61,65.3663,19.5957
1.2898,3.4804,2.2523,-0.5357,-0.5553,0.5283,-43.8509,-28.7585,-55.5698,-42.6102,65.3652,19.596
1.2769,3.4269,2.1853,-0.5563,-0.5713,0.5356,-43.8508,-28.7586,-55.57,-42.6105,65.364,19.5964
1.2872,3.4543,2.2101,-0.5748,-0.55,0.5292,-43.8507,-28.7586,-55.5702,-42.6107,65.3627,19.5968
1.4365,3.4439,2.1665,-0.5232,-0.5904,0.5671,-43.8506,-28.7586,-55.5704,-42.611,65.3613,19.5973
1.394,3.4657,2.0882,-0.5413,-0.5603,0.5306,-43.8505,-28.7586,-55.5706,-42.6113,65.3598,19.5977
1.4457,3.3992,2.1741,-0.5803,-0.5999,0.5862,-43.8504,-28.7587,-55.5709,-42.6117,65.3581,19.5982
1.4108,3.4912,2.1623,-0.5996,-0.6046,0.6076,-43.8503,-28.7587,-55.5711,-42.612,65.3563,19.5987
1.5589,3.3816,2.157,-0.6104,-0.5931,0.6002,-43.8501,-28.7587,-55.5714,-42.6124,65.3544,19.5992
1.5379,3.3807,2.1011,-0.6428,-0.5762,0.6015,-43.85,-28.7588,-55.5717,-42.6128,65.3524,19.5998
1.4594,3.4463,2.1092,-0.6784,-0.5851,0.6526,-43.8499,-28.7588,-55.572,-42.6132,65.3502,19.6004
1.6252,3.3437,2.0782,-0.7353,-0.5822,0.6359,-43.8498,-28.7588,-55.5724,-42.6136,65.3479,19.601
1.58,3.3505,2.1218,-0.8167,-0.5832,0.678,-43.8496,-28.7589,-55.5727,-42.614,65.3455,19.6016
1.5702,3.2738,2.1001,-0.9306,-0.5918,0.6685,-43.8495,-28.7589,-55.5731,-42.6143,65.343,19.6022
1.5451,3.41,2.1753,-0.9513,-0.6241,0.6729,-43.8493,-28.759,-55.5735,-42.6146,65.3403,19.6029
1.6233,3.2849,2.0634,-0.9592,-0.6124,0.6651,-43.8491,-28.759,-55.5739,-42.615,65.3374,19.6037
1.6853,3.3262,2.1088,-0.9946,-0.6272,0.6881,-43.849,-28.7591,-55.5744,-42.6153,65.3345,19.6045
1.6078,3.3454,2.0568,-1.0123,-0.6426,0.6801,-43.8488,-28.7591,-55.5748,-42.6157,65.3313,19.6053
1.6444,3.2882,2.0727,-1.0141,-0.6441,0.6734,-43.8486,-28.7592,-55.5753,-42.6162,65.3281,19.6062
1.6605,3.267,2.0984,-1.0275,-0.6502,0.6637,-43.8484,-28.7592,-55.5758,-42.6167,65.3246,19.6072
1.6639,3.3492,2.0438,-0.9711,-0.6546,0.6982,-43.8482,-28.7593,-55.5764,-42.6172,65.3211,19.6082
1.7672,3.2692,2.0858,-1.0434,-0.6728,0.7025,-43.848,-28.7593,-55.5769,-42.6177,65.3173,19.6092
1.7522,3.2954,2.0602,-1.012,-0.6739,0.706,-43.8477,-28.7593,-55.5775,-42.6183,65.3134,19.6103
1.6906,3.2495,1.9887,-1.0349,-0.6686,0.6968,-43.8475,-28.7594,-55.5781,-42.619,65.3093,19.6115
1.7569,3.258,2.0734,-1.0069,-0.6639,0.6977,-43.8473,-28.7594,-55.5788,-42.6196,65.3051,19.6127
1.8097,3.2831,2.0008,-1.0404,-0.682,0.709,-43.847,-28.7595,-55.5794,-42.6204,65.3007,19.614
1.8147,3.2601,2.0317,-1.0722,-0.6968,0.701,-43.8467,-28.7595,-55.5801,-42.6212,65.2961,19.6154
1.7569,3.2109,1.9815,-0.9916,-0.6851,0.718,-43.8465,-28.7596,-55.5808,-42.622,65.2913,19.6168
1.7038,3.201,1.9162,-1.0744,-0.6859,0.7176,-43.8462,-28.7596,-55.5815,-42.6229,65.2864,19.6182
