-0.0000,0.0000,-0.0000.1,-0.0000.2,0.0000.1,-0.0000.3,-43.8520,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0,4.4639,3.4676,0.4609,0.2183,0.0,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0,4.464,3.4666,0.4609,0.2183,0.0,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0,4.464,3.4667,0.4609,0.2183,0.0,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0,4.4639,3.4692,0.4609,0.2183,0.0001,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0,4.4641,3.4634,0.4609,0.2182,0.0001,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-0.0002,4.4633,3.4628,0.4608,0.2179,0.0003,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0092,4.4663,3.4701,0.4605,0.2169,0.0008,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0009,4.4551,3.4567,0.4595,0.2141,0.0019,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0122,4.4563,3.4465,0.457,0.2081,0.0042,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0134,4.4772,3.4435,0.4527,0.1961,0.0085,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0275,4.4599,3.4486,0.4452,0.177,0.0157,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0341,4.4407,3.422,0.4336,0.1525,0.0271,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0445,4.4522,3.4084,0.4163,0.124,0.0445,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0665,4.469,3.3827,0.3916,0.0925,0.0674,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.0932,4.4624,3.3512,0.3582,0.059,0.0944,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.127,4.4355,3.3074,0.3184,0.024,0.1242,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.1588,4.4322,3.2771,0.2742,-0.012,0.156,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.198,4.4608,3.2138,0.2269,-0.0486,0.189,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.2628,4.3995,3.1556,0.1779,-0.0857,0.2226,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.3288,4.4072,3.0858,0.1279,-0.1231,0.2563,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.4059,4.4249,3.0252,0.0777,-0.1609,0.2899,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.4787,4.3779,2.9678,0.0278,-0.199,0.3232,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.5739,4.3512,2.9067,-0.0216,-0.2375,0.356,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.6621,4.3618,2.8358,-0.0699,-0.2767,0.3882,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
0.7544,4.3397,2.7565,-0.1172,-0.3165,0.4198,-43.852,-28.7582,-55.5674,-42.6073,65.3795,19.5901
-1.907,5.9708,6.1477,1.3088,1.3311,-0.7655,-43.8519,-28.7583,-55.5678,-42.6084,65.3764,19.5922
-0.3169,4.0439,3.5707,0.0467,0.3828,0.0153,-43.8518,-28.7583,-55.568,-42.6087,65.3754,19.5926
0.8421,4.4097,3.0486,-0.2005,-0.18,0.4711,-43.8518,-28.7584,-55.5681,-42.6087,65.3749,19.5927
0.8128,4.2155,2.7186,-0.1535,-0.241,0.4689,-43.8518,-28.7584,-55.5681,-42.6088,65.3747,19.5927
0.928,4.1689,2.6556,-0.1793,-0.2455,0.4134,-43.8518,-28.7584,-55.5682,-42.6088,65.3746,19.5928
1.0684,4.2861,2.6101,-0.1976,-0.3046,0.4219,-43.8518,-28.7584,-55.5682,-42.6089,65.3745,19.5928
0.9925,4.0982,2.5617,-0.2121,-0.3244,0.3991,-43.8517,-28.7584,-55.5683,-42.6089,65.3744,19.5928
1.0764,4.0217,2.6094,-0.237,-0.3295,0.4444,-43.8517,-28.7584,-55.5683,-42.609,65.3743,19.5929
1.0835,4.0095,2.5941,-0.2661,-0.3499,0.4424,-43.8517,-28.7584,-55.5684,-42.609,65.3741,19.5929
1.1664,3.9865,2.568,-0.322,-0.3572,0.4534,-43.8517,-28.7584,-55.5684,-42.6091,65.3739,19.593
1.092,4.0358,2.5881,-0.2895,-0.3718,0.4612,-43.8516,-28.7584,-55.5685,-42.6092,65.3736,19.5931
1.1538,3.8939,2.5294,-0.3348,-0.3927,0.4749,-43.8516,-28.7584,-55.5685,-42.6092,65.3733,19.5932
1.1262,3.9192,2.426,-0.3153,-0.4093,0.4817,-43.8515,-28.7584,-55.5686,-42.6093,65.3729,19.5933
1.1597,3.8977,2.5289,-0.3865,-0.4373,0.4763,-43.8515,-28.7584,-55.5687,-42.6094,65.3725,19.5935
1.0912,3.8599,2.4552,-0.381,-0.4453,0.4837,-43.8514,-28.7584,-55.5688,-42.6095,65.372,19.5937
1.1974,3.7164,2.4011,-0.4259,-0.4811,0.5057,-43.8514,-28.7584,-55.5689,-42.6096,65.3715,19.5939
1.2265,3.7173,2.3317,-0.4109,-0.4953,0.4913,-43.8513,-28.7584,-55.569,-42.6098,65.3709,19.5941
1.2307,3.679,2.3603,-0.4513,-0.5274,0.5028,-43.8512,-28.7584,-55.5691,-42.6099,65.3703,19.5944
1.1871,3.5597,2.3052,-0.4547,-0.5404,0.5159,-43.8512,-28.7584,-55.5692,-42.6101,65.3695,19.5947
1.2549,3.5401,2.2478,-0.4447,-0.55,0.4987,-43.8511,-28.7585,-55.5693,-42.6102,65.3687,19.595
1.2112,3.5769,2.2543,-0.4903,-0.5345,0.5289,-43.851,-28.7585,-55.5695,-42.6104,65.3678,19.5953
1.3531,3.5254,2.3047,-0.5617,-0.5434,0.5744,-43.851,-28.7585,-55.5696,-42.6106,65.3668,19.5957
1.3268,3.4812,2.2451,-0.5371,-0.5685,0.5375,-43.8509,-28.7585,-55.5698,-42.6107,65.3656,19.596
1.3742,3.4735,2.198,-0.6045,-0.561,0.5559,-43.8508,-28.7585,-55.57,-42.6109,65.3644,19.5964
1.2842,3.4355,2.1429,-0.6097,-0.5555,0.5486,-43.8507,-28.7586,-55.5702,-42.6112,65.3631,19.5968
1.4359,3.4685,2.251,-0.6178,-0.5883,0.5273,-43.8506,-28.7586,-55.5704,-42.6114,65.3616,19.5972
1.432,3.3947,2.1338,-0.6039,-0.5738,0.5739,-43.8505,-28.7586,-55.5706,-42.6117,65.36,19.5977
1.4414,3.3799,2.1598,-0.5476,-0.5771,0.5701,-43.8504,-28.7587,-55.5708,-42.6119,65.3583,19.5982
1.4273,3.4505,2.1078,-0.5739,-0.5861,0.539,-43.8503,-28.7587,-55.5711,-42.6123,65.3565,19.5987
1.5148,3.2984,2.1422,-0.6067,-0.5734,0.5952,-43.8501,-28.7587,-55.5714,-42.6126,65.3546,19.5993
1.5538,3.4248,2.1373,-0.5836,-0.5846,0.6084,-43.85,-28.7588,-55.5717,-42.613,65.3525,19.5998
1.463,3.3619,2.1267,-0.6085,-0.5828,0.6508,-43.8499,-28.7588,-55.572,-42.6134,65.3503,19.6004
1.5719,3.3753,2.115,-0.6542,-0.5782,0.6397,-43.8498,-28.7588,-55.5724,-42.6138,65.348,19.601
1.5541,3.3287,2.1067,-0.5598,-0.5792,0.6784,-43.8496,-28.7589,-55.5727,-42.6142,65.3456,19.6016
1.5596,3.2572,2.118,-0.5858,-0.6092,0.6616,-43.8495,-28.7589,-55.5731,-42.6147,65.343,19.6022
1.561,3.4098,2.0834,-0.6337,-0.5991,0.7062,-43.8493,-28.759,-55.5735,-42.6152,65.3403,19.6029
1.627,3.2707,2.1456,-0.6022,-0.6381,0.6737,-43.8491,-28.759,-55.5739,-42.6158,65.3374,19.6036
1.6416,3.3604,2.0809,-0.6498,-0.6329,0.6917,-43.849,-28.759,-55.5744,-42.6164,65.3345,19.6044
1.6539,3.3909,2.0731,-0.638,-0.6312,0.6896,-43.8488,-28.7591,-55.5748,-42.617,65.3313,19.6053
1.6015,3.3468,2.0194,-0.6696,-0.6223,0.6751,-43.8486,-28.7591,-55.5753,-42.6176,65.328,19.6062
1.6745,3.3272,2.0705,-0.6584,-0.6214,0.6746,-43.8484,-28.7592,-55.5758,-42.6183,65.3246,19.6071
1.6654,3.2802,2.0072,-0.7006,-0.6387,0.6682,-43.8482,-28.7592,-55.5764,-42.619,65.321,19.6081
1.8207,3.3068,2.098,-0.6984,-0.6571,0.697,-43.848,-28.7593,-55.5769,-42.6197,65.3173,19.6092
1.6424,3.2383,1.9916,-0.6151,-0.6458,0.7111,-43.8477,-28.7593,-55.5775,-42.6205,65.3133,19.6103
1.8255,3.2231,2.0595,-0.6537,-0.6734,0.7075,-43.8475,-28.7594,-55.5781,-42.6213,65.3093,19.6115
1.8197,3.2925,2.0936,-0.7156,-0.6551,0.7066,-43.8473,-28.7594,-55.5787,-42.6221,65.305,19.6127
1.6911,3.2512,1.9899,-0.6609,-0.6475,0.708,-43.847,-28.7595,-55.5794,-42.623,65.3006,19.614
1.789,3.2546,1.9746,-0.6376,-0.6704,0.7103,-43.8467,-28.7595,-55.5801,-42.6239,65.296,19.6154
1.6868,3.2019,1.9675,-0.6321,-0.6558,0.7173,-43.8465,-28.7596,-55.5808,-42.6248,65.2912,19.6168
1.7119,3.1464,1.9711,-0.6322,-0.6799,0.7221,-43.8462,-28.7596,-55.5815,-42.6258,65.2863,19.6182
