-0.0000,0.0000,-0.0000.1,-0.0000.2,0.0000.1,-0.0000.3,-43.8520,-28.7582,-55.5674,-42.6073,65.3795,19.5901
1.365,3.2183,2.1082,-0.6009,-0.5562,0.5665,-43.8507,-28.7583,-55.5702,-42.6112,65.3631,19.5968
1.441,3.1891,2.174,-0.5628,-0.5656,0.5709,-43.8506,-28.7583,-55.5704,-42.6114,65.3616,19.5972
1.4248,3.1603,2.1564,-0.583,-0.5674,0.5366,-43.8505,-28.7583,-55.5706,-42.6117,65.36,19.5977
1.4234,3.098,2.1061,-0.546,-0.5756,0.5362,-43.8504,-28.7583,-55.5708,-42.612,65.3583,19.5982
1.4108,3.101,2.1398,-0.5774,-0.5862,0.583,-43.8503,-28.7583,-55.5711,-42.6123,65.3565,19.5987
1.5199,2.903,2.1364,-0.5946,-0.5804,0.5642,-43.8501,-28.7583,-55.5714,-42.6126,65.3546,19.5993
1.5046,2.9281,2.1676,-0.5812,-0.5557,0.5684,-43.85,-28.7583,-55.5717,-42.613,65.3525,19.5999
1.5452,2.9607,2.0977,-0.5423,-0.5831,0.5584,-43.8499,-28.7584,-55.572,-42.6134,65.3503,19.6006
1.4968,2.9983,2.0598,-0.5755,-0.574,0.5539,-43.8497,-28.7584,-55.5723,-42.6138,65.348,19.6012
1.5696,2.8779,2.1132,-0.6174,-0.6074,0.5541,-43.8496,-28.7584,-55.5727,-42.6143,65.3456,19.602
1.7173,2.7528,2.0919,-0.5888,-0.619,0.5847,-43.8495,-28.7584,-55.5731,-42.6147,65.343,19.6027
1.5885,2.8612,2.078,-0.5617,-0.6,0.5714,-43.8493,-28.7584,-55.5735,-42.6152,65.3403,19.6035
1.6267,2.8348,2.0452,-0.5962,-0.6379,0.5675,-43.8491,-28.7584,-55.5739,-42.6158,65.3374,19.6044
1.6061,2.7525,2.0993,-0.5891,-0.6329,0.5837,-43.849,-28.7584,-55.5744,-42.6164,65.3344,19.6053
1.6499,2.6659,2.0661,-0.6167,-0.6312,0.5862,-43.8488,-28.7584,-55.5748,-42.617,65.3313,19.6062
1.7003,2.7509,2.0979,-0.6102,-0.6223,0.6007,-43.8486,-28.7584,-55.5753,-42.6176,65.328,19.6072
1.623,2.6857,2.0804,-0.6439,-0.6222,0.6356,-43.8484,-28.7584,-55.5758,-42.6183,65.3246,19.6082
1.7421,2.6558,2.0359,-0.6441,-0.6362,0.7136,-43.8482,-28.7584,-55.5764,-42.619,65.321,19.6092
1.7651,2.5931,2.0621,-0.6132,-0.6287,0.6795,-43.848,-28.7584,-55.5769,-42.6197,65.3173,19.6102
1.7484,2.5198,2.0379,-0.6098,-0.6403,0.6654,-43.8477,-28.7584,-55.5775,-42.6205,65.3133,19.6112
1.7685,2.5104,1.99,-0.6542,-0.6392,0.693,-43.8475,-28.7584,-55.5781,-42.6213,65.3093,19.6123
1.7799,2.5827,1.9938,-0.6467,-0.6769,0.6875,-43.8473,-28.7584,-55.5787,-42.6221,65.305,19.6134
1.7989,2.5535,1.9895,-0.7077,-0.6559,0.7049,-43.847,-28.7585,-55.5794,-42.6229,65.3006,19.6146
1.8119,2.4142,1.9824,-0.7144,-0.6654,0.7001,-43.8467,-28.7585,-55.5801,-42.6239,65.296,19.6159
1.6924,2.4783,2.0392,-0.6467,-0.6946,0.7177,-43.8465,-28.7585,-55.5808,-42.6248,65.2912,19.6172
1.7119,2.3282,1.9484,-0.6894,-0.6861,0.7017,-43.8462,-28.7585,-55.5815,-42.6258,65.2863,19.6186
1.7478,2.373,1.9644,-0.6987,-0.7167,0.7077,-43.8459,-28.7585,-55.5823,-42.6268,65.2811,19.6201
1.7255,2.3834,1.8782,-0.6433,-0.73,0.6995,-43.8456,-28.7585,-55.5831,-42.6278,65.2758,19.6216
1.801,2.3092,1.9962,-0.6986,-0.7135,0.7148,-43.8453,-28.7585,-55.5839,-42.6289,65.2703,19.6232
1.7679,2.2945,1.9597,-0.7109,-0.727,0.7023,-43.8449,-28.7585,-55.5847,-42.63,65.2645,19.6249
1.7593,2.1922,1.9289,-0.728,-0.7206,0.7182,-43.8446,-28.7585,-55.5856,-42.6312,65.2586,19.6266
1.7033,2.2219,1.9662,-0.7328,-0.7225,0.7067,-43.8442,-28.7585,-55.5865,-42.6324,65.2525,19.6284
1.7211,2.116,1.8588,-0.6804,-0.718,0.7266,-43.8439,-28.7585,-55.5874,-42.6337,65.2461,19.6302
1.8136,2.0703,1.889,-0.6975,-0.7385,0.7126,-43.8435,-28.7585,-55.5884,-42.635,65.2396,19.6322
1.8563,1.9424,1.8498,-0.703,-0.7583,0.7071,-43.8431,-28.7585,-55.5894,-42.6363,65.2328,19.6342
1.8441,2.0473,1.9042,-0.6586,-0.7437,0.7255,-43.8427,-28.7586,-55.5904,-42.6377,65.2258,19.6362
1.7925,1.9423,1.8814,-0.6813,-0.7479,0.7278,-43.8423,-28.7586,-55.5914,-42.6391,65.2186,19.6384
1.9,1.8413,1.848,-0.7008,-0.7555,0.716,-43.8418,-28.7586,-55.5925,-42.6405,65.2111,19.6406
1.7682,1.8498,1.8729,-0.7306,-0.7613,0.7435,-43.8414,-28.7586,-55.5936,-42.642,65.2035,19.6429
1.9006,1.8292,1.8452,-0.7695,-0.7821,0.7197,-43.8409,-28.7586,-55.5948,-42.6436,65.1955,19.6452
1.7483,1.7717,1.8638,-0.7314,-0.7721,0.7342,-43.8404,-28.7586,-55.596,-42.6452,65.1874,19.6477
1.8808,1.6609,1.7857,-0.7582,-0.7729,0.7395,-43.84,-28.7586,-55.5972,-42.6468,65.179,19.6502
1.8137,1.6477,1.8228,-0.744,-0.802,0.7421,-43.8395,-28.7586,-55.5985,-42.6485,65.1704,19.6527
1.8507,1.5356,1.8139,-0.7053,-0.8196,0.7443,-43.8389,-28.7586,-55.5998,-42.6502,65.1615,19.6554
1.865,1.5369,1.7634,-0.7335,-0.8408,0.7471,-43.8384,-28.7586,-55.6011,-42.652,65.1524,19.6581
1.9,1.4216,1.7522,-0.7206,-0.7995,0.7507,-43.8379,-28.7586,-55.6025,-42.6539,65.143,19.661
1.956,1.3264,1.8196,-0.7589,-0.8212,0.7316,-43.8373,-28.7587,-55.6039,-42.6558,65.1333,19.6638
1.8644,1.3451,1.7431,-0.7391,-0.8266,0.7338,-43.8367,-28.7587,-55.6053,-42.6577,65.1234,19.6668
1.878,1.2485,1.8041,-0.7378,-0.8405,0.741,-43.8361,-28.7587,-55.6068,-42.6597,65.1132,19.6699
2.0024,1.1712,1.7168,-0.7756,-0.856,0.7499,-43.8355,-28.7587,-55.6083,-42.6617,65.1027,19.673
1.9018,1.1935,1.7049,-0.7659,-0.875,0.7439,-43.8349,-28.7587,-55.6098,-42.6638,65.092,19.6762
2.0063,1.0512,1.7474,-0.7761,-0.8456,0.7123,-43.8342,-28.7587,-55.6114,-42.666,65.081,19.6795
1.9459,0.9627,1.7338,-0.7494,-0.8741,0.7271,-43.8336,-28.7587,-55.6131,-42.6681,65.0697,19.6829
1.9686,0.9015,1.6774,-0.7552,-0.8838,0.7528,-43.8329,-28.7587,-55.6147,-42.6704,65.0581,19.6864
2.0092,0.8714,1.6412,-0.813,-0.8761,0.738,-43.8322,-28.7588,-55.6165,-42.6727,65.0462,19.6899
1.9826,0.7195,1.7057,-0.7584,-0.8943,0.7599,-43.8315,-28.7588,-55.6182,-42.6751,65.0341,19.6936
2.0145,0.7335,1.6529,-0.7504,-0.8886,0.7564,-43.8308,-28.7588,-55.62,-42.6775,65.0216,19.6973
2.032,0.6706,1.6694,-0.7633,-0.8903,0.7444,-43.83,-28.7588,-55.6219,-42.68,65.0088,19.7012
2.0241,0.5679,1.6495,-0.833,-0.9313,0.7662,-43.8293,-28.7588,-55.6237,-42.6825,64.9958,19.7051
2.0295,0.4802,1.6743,-0.7921,-0.9188,0.7706,-43.8285,-28.7589,-55.6257,-42.6851,64.9824,19.7091
1.9827,0.3956,1.615,-0.7937,-0.9375,0.7749,-43.8277,-28.7589,-55.6277,-42.6878,64.9687,19.7132
1.9954,0.2608,1.6188,-0.8235,-0.9316,0.7684,-43.8269,-28.7589,-55.6297,-42.6905,64.9547,19.7174
1.9857,0.1918,1.6342,-0.7646,-0.9372,0.7716,-43.826,-28.7589,-55.6317,-42.6933,64.9404,19.7217
2.1499,0.1645,1.5795,-0.7895,-0.9416,0.7793,-43.8252,-28.7589,-55.6339,-42.6961,64.9257,19.726
2.0823,0.1198,1.645,-0.8714,-0.9542,0.7506,-43.8243,-28.759,-55.636,-42.699,64.9107,19.7305
2.0817,0.019,1.529,-0.8511,-0.9816,0.7836,-43.8234,-28.759,-55.6382,-42.702,64.8954,19.7351
2.168,-0.096,1.5677,-0.811,-0.9732,0.7691,-43.8225,-28.759,-55.6405,-42.705,64.8798,19.7398
2.0448,-0.1218,1.5721,-0.829,-0.9742,0.774,-43.8216,-28.7591,-55.6428,-42.7081,64.8638,19.7446
